First Name,Last Name,Logging Date,Company,Aditionals,Social Network Logging,Job Title,Organization,About Me,Interest,Tags Description,Needs,Skills,Rating,Archive Member,Human Coded (Manual Validation),A Key Organizational Need,Target Connection for the Organization,About the Organization,Short Term Goal,Long Term Goal,Open To,Call To Action,Impact Story,Top Needs,Who Do You Want To Connect With?,Goals
Kimberly,Mccarty,2023-12-06 0:00:00,Verizon Communications Inc.,,LinkedIn,"Presenter, Broadcasting",Organization,About Me,Innovation | Education & Training | Research,Tags Description,Developer | Mental Health | Content Creation,Technology Generator | Accounting | Data Analytics,Single-Thumb Up,Archive Member,No,E-commerce and Online Services,Venture Capitalists,About the Organization,Establish a Business Mentorship Scheme,Foster Artisan and Craftsmanship,Artists,Partner in Financial Empowerment,"Successfully negotiated a major business deal, resulting in a strategic partnership that significantly expanded the company's market reach",Family Support Services,Care Providers,Enhance Lobbying Efforts
First Name,Tyler,2023-12-05 0:00:00,American Express Company,Aditionals,LinkedIn,Insurance Underwriter,Commerce Chamber,About Me,Career Advancement | Real Estate | Mentorship,Tags Description,Trends | Diversity & Inclusion | Sustainability,Soft Skills | Technologist | Technology Generator,Thump Down,Archive Member,Human Coded (Manual Validation),Networking Opportunities,Healthcare Providers,,Offer Business Financial Planning Workshops,Strengthen Youth Engagement,Animal Shelters,Become a Part of Our Growing Community,I collaborated on a research project that resulted in the development of a breakthrough treatment for a previously incurable medical condition,Infrastructure Development,Pet Lovers,Boost Local Tourism
Jessica,White,2023-12-10 0:00:00,Walmart Inc.,Aditionals,LinkedIn,Engineer and Communications Specialist,Commerce Chamber,,Health & Wellness | Mental Health | AI & Machine Learning,Tags Description,Sustainability | Sales | Investment,Coaching | Technology Advocate | Science,Single-Thumb Up,Yes,Yes,Data Management,Investment Firms,About the Organization,Create a Member Directory,Support Local Journalism,Elderly Care Services,Empower the Next Generation,I have a mentoring group for teenagers who want to innovate through science. We have won two local awards,Reporting Resources,Parents,Enhance Disaster Preparedness
James,Rocha,2023-12-01 0:00:00,Ford Motor Company,Aditionals,Google,Quality Manager,Commerce Chamber,,Compliance | Economics | Remote Work,,Economics | Branding | Education & Training,Data Analytics | Soft Skills | Story Teller,Thump Down,Archive Member,Human Coded (Manual Validation),Event Management,Logistics Companies,,Enhance Public Relations Efforts,Foster Manufacturing Growth,Private Partnerships,Save Every Drop,Established key performance indicators (KPIs) that allowed the company to measure and achieve significant improvements in various area,Agricultural Tech,Pet Lovers,Enhance Dining Scene
Eric,Burton,12/11/2023,American Express Company,,Social Network Logging,Contractor,Commerce Chamber,About Me,Design & UX | Corporate Responsability | Education & Training,Tags Description,Investment | E-Commerce | Sustainability,Finances | Accounting | Management,Thumb Down,No,Yes,Feedback Mechanisms,Local Business Owners,,Start a Chamber Member Survey,Foster Innovation and R&D,Youth Organizations,Become a Part of Our Growing Community,I designed and implemented a cybersecurity framework that protected a company's sensitive data and prevented potential data breaches,Sustainable Building,Environmentalists,Preserve Cultural Landmarks
Matt,Mcclure,2023-12-01 0:00:00,Google LLC (parte de Alphabet Inc.),,Google,Contractor,Commerce Chamber,About Me,Marketing | Investment | Consulting,,Rearch | Education & Training | Cibersecurity,Soft Skills | Technologist | Technology Generator,Thump Down,Yes,Human Coded (Manual Validation),Research and Reporting,Local Chambers of Commerce,About the Organization,Launch New Member Welcome Program,Grow Agricultural Sector,HR Firms,Build the Smart City of Tomorrow,"Championed a mentorship program within the organization, facilitating professional development and knowledge sharing among employees.",Emergency Plans,Property Investors,Push for Better Healthcare
Jessica,Fischer,2023-12-06 0:00:00,Chevron Corporation,Aditionals,LinkedIn,Systems Engineer,Commerce Chamber,About Me,Profesional Development | Leadership | Sustainability,,Lawer | Professor | Investment,Business | Technologist | Web Design,Rating,No,Yes,Legal Compliance,Environmental Advocacy Groups,,Launch a Small Business Support Initiative,Foster Green Gardening Practices,Sports Clubs,Preserve Our History,"In high school, I wrote a literature book titled The mysteries of Ana, which won a national award",Leadership Development,Educators,Goals
Richard,Stone,2023-12-08 0:00:00,IBM Corporation,,Google,Civil Service fast streamer,Organization,,Branding | E-Commerce | Marketing,Tags Description,Economic Development | Cibersecurity | Leadership,Education & Training | Story Teller | E-Commerce,Single-Thumb Up,Archive Member,No,Community Engagement,Local Business Owners,About the Organization,Create a Member Directory,Enhance Digital Presence,Artisan Cooperatives,Spotlight on Local Cinema,"In 2015, I launched a campaign against breast cancer, through which we raised around one million dollars, ultimately saving 20 women from dying.",Business Mentorship,Parents,Encourage Sustainable Construction
Bruce,Scott,2023-12-07 0:00:00,Intel Corporation,Aditionals,Google,Job Title,Organization,About Me,Content Creation | Public Speaking | Social Media,,Consulting | Content Creation | Entrepreneurship,Management | Public Speaking | Soft Skills,Single-Thumb Up,Yes,Human Coded (Manual Validation),Crisis Management Plan,Consumer Goods Manufacturers,,Implement a Digital Marketing Strategy,Enhance Water Conservation Efforts,Policy Makers,Drive the Future of Mobility with Us,I developed and executed a crisis communication plan that effectively managed the impact of a high-profile legal challenge on the company's reputation,Job Placement,Retail Business Owners,Strengthen Data Protection
